categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;Um navegante amador habilitado para conduzir embarcações de esporte e/ou recreio, entre portos nacionais e estrangeiros, sem restrições de áreas geográficas, é chamado de:;Veleiro;Motonauta;Arrais-Amador;Mestre-Amador;Capitão-Amador;Capitão-Amador
Arrais Amador;Geral;Assinale a alternativa que corresponde ao sinal de águas seguras que é aquele sinal cego ou luminoso, é empregado para indicar a existência de águas navegáveis em todo o seu entorno, o meio de um canal, um ponto de aterragem ou um ponto de espera:;O sinal de águas seguras é dotado de marca de tope, duas esferas pretas, uma sobre a outra;O sinal de águas seguras apresenta-se pintado com faixas verticais encarnadas e brancas e pode exibir uma esfera na cor encarnada como marca de tope;O sinal de águas seguras apresenta sua estrutura pintada de amarelo na metade superior e de preto na metade inferior e deve exibir, como marca de tope, 2 cones na cor preta um acima do outro, ambos com os vértices voltados para cima;O sinal de águas seguras apresenta sua estrutura pintada de preto com uma faixa larga horizontal amarela no meio e deve exibir, como marca de tope, 2 cones na cor preta um acima do outro, o superior com vértice voltado para cima e o inferior com o vértice voltado para baixo;O sinal de águas seguras apresenta sua estrutura pintada de amarelo com uma faixa larga horizontal preta no meio e deve exibir, como marca de tope, 2 cones na cor preta um acima do outro, o superior com vértice voltado para baixo e o inferior com o vértice voltado para cima;O sinal de águas seguras apresenta-se pintado com faixas verticais encarnadas e brancas e pode exibir uma esfera na cor encarnada como marca de tope
Arrais Amador;Geral;Assinale a alternativa incorreta. Não é permitido o tráfego e fundeio de embarcações nas seguintes áreas consideradas de segurança:;canais de acesso aos portos;a menos de duzentos (200) metros das instalações militares;a menos de 300 (trezentos) metros das plataformas de petróleo;fundeadouros de navios mercantes;áreas próximas às usinas hidrelétricas, termoelétricas e nucleoelétricas, cujos limites serão fixados e divulgados pelas concessionárias responsáveis pelo reservatório de água, em coordenação com o CP, DL ou AG da área;a menos de 300 (trezentos) metros das plataformas de petróleo
Arrais Amador;Geral;Em um balizamento fluvial, um painel quadrangular na cor laranja, com duas faixas laterais pretas, e com uma seta preta, junto a uma destas faixas laterais, significa:;recomendação para navegar no meio do rio;recomendação para navegar junto a margem;sinal de alinhamento;sinal de fundeio proibido;recomendação para mudança de margem;recomendação para navegar junto a margem
Arrais Amador;Geral;Toda embarcação impossibilitada de manobrar em apoio à atividade de mergulho amador deverá exibir a bandeira ALFA, que significa:;Mergulhador na superfície, próximo da embarcação de apoio;Tenho mergulhador na água, mantenha-se afastado e a baixa velocidade;Mergulhador realizando mergulho nas proximidades da embarcação de apoio;Mergulhador a bordo, pronto para iniciar o mergulho;Tenho mergulhador na água, só se aproxime em último caso;Tenho mergulhador na água, mantenha-se afastado e a baixa velocidade
Arrais Amador;Geral;Estando em uma balsa salva-vidas, o que se deve fazer quando esta for atacada por um tubarão?;Apitar incessantemente;Desferir golpes de remo no focinho e na cabeça do animal;Jogar ao mar rações sólidas de sobrevivência;Gritar freneticamente;Jogar ao mar restos de peixe para bem longe da balsa;Desferir golpes de remo no focinho e na cabeça do animal
Arrais Amador;Geral;Para segurança da embarcação, devemos proceder a diversas verificações antes de sairmos para navegar, exceto:;verificar as luzes de navegação;verificar os equipamentos de salvatagem;verificar os equipamentos de combate a incêndio;verificar se a embarcação está com as acomodações limpas e arrumadas;verificar os equipamentos rádio;verificar se a embarcação está com as acomodações limpas e arrumadas
Arrais Amador;Geral;No balizamento de uma hidrovia um sinal ”X” significa:;seguir margem;trocar de margem;seguir no meio do canal;bifurcação de canal;proibido parar;trocar de margem
Arrais Amador;Geral;Todo aquele que é transportado pela embarcação, não fazendo parte da tripulação e sem estar prestando serviço profissional a bordo, é considerado:;tripulante;profissional não tripulante;passageiro;patrão;comandante;passageiro
Arrais Amador;Geral;Embarcações de propulsão mecânica que não estão obrigadas a exibir a luz de mastro de ré são aquelas menores de:;50 metros;60 metros;70 metros;80 metros;100 metros;50 metros
Arrais Amador;Geral;Deverá ser considerada uma embarcação alcançando outra, toda embarcação que se aproximar de outra, vindo de uma direção de:;mais de 22,5º para ré do través dessa última;menos de 112,5º para ré do través dessa última;mais de 112,5º para ré do través dessa última;menos de 22,5º para ré do través dessa última;mais de 22,5º e menos de 112,5º para ré do través dessa última;mais de 22,5º para ré do través dessa última
Arrais Amador;Geral;Comburente é todo elemento que, associando-se quimicamente ao combustível, é capaz de fazê-lo entrar em combustão. O comburente mais facilmente encontrado na natureza é o:;oxigênio;hidrogênio;gás carbônico;gás hélio;nitrogênio;oxigênio
Arrais Amador;Geral;As instruções para operar, manusear e lançar os dispositivos pirotécnicos (foguetes) e fumígeno estão contidas:;nos manuais;na RLESTA;nas embalagens dos mesmos;na LESTA;na NORMAM-03/DPC;nas embalagens dos mesmos
Arrais Amador;Geral;Qual a frequência ideal de compressão e descompressão do peito, na massagem cardíaca externa?;50 vezes por minuto;150 vezes por minuto;60 vezes por minuto;30 vezes por minuto;100 vezes por minuto;100 vezes por minuto
Arrais Amador;Geral;Qual a frequência ideal de compressão e descompressão do peito, na massagem cardíaca externa conforme o Manual de 1ª Socorros da Fio Cruz ?;79 vezes por minuto;30 vezes por minuto;40 vezes por minuto;100 vezes por minuto;130 vezes por minuto;100 vezes por minuto
Arrais Amador;Geral;Hipotermia se dá:;somente em água fresca;somente em água quente;qualquer água que esfrie o suficiente para baixar a temperatura do corpo a menos de 35º centigrados;qualquer água;somente em água morna;qualquer água que esfrie o suficiente para baixar a temperatura do corpo a menos de 35º centigrados
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), quando fundeado à noite com minha lancha de nove metros de comprimento, além de exibir uma luz circular branca onde melhor possa ser vista, posso também nessa situação:;acender a luz encarnada a bombordo e verde a boreste;acender todas as luzes de mastro;iluminar todo convés principal;acender somente as luzes necessárias para pesca amadora;acender qualquer luz de navegação pois meu barco estará parado;iluminar todo convés principal
Arrais Amador;Geral;Uma luz intermitente amarela cruzando o canal, à noite, poderá ser:;uma embarcação de colchão de ar (hoverdraft);uma embarcação dos serviços de praticagem do porto;uma embarcação de socorro e salvamento;um rebocador do porto se dirigindo para a manobra;a lancha da Capitania dos Portos realizando Inspeção Naval;uma embarcação de colchão de ar (hoverdraft)
Arrais Amador;Geral;Sabemos que os coletes salva-vidas são exigidos nas embarcações de esporte e recreio. Das alternativas abaixo, qual deverá, obrigatoriamente, estar usando (vestido) com o colete salva vidas:;comandante das embarcações;somente o condutor da moto aquática;somente o passageiro da moto aquática;condutor e passageiro da moto aquática;todos os passageiros de embarcações de médio porte;condutor e passageiro da moto aquática
Arrais Amador;Geral;O Amador terá sua Carteira de Habilitação de Amador (CHA) cancelada, e será excluído do banco de dados da Marinha (SISAMA), sem prejuízo de outras penalidades prevista na legislação em vigor, quando for reincidente nas ações discriminadas abaixo, EXCETO:;entregar a condução da embarcação a pessoa habilitada;utilizar a embarcação de esporte e recreio, em atividades comerciais, para transporte de passageiros ou carga;utilizar a embarcação para pratica de crime;conduzir a embarcação em estado de embriaguez alcoólica ou sob efeito de substância tóxica de qualquer natureza;entregar a condução da embarcação a pessoa não habilitada;entregar a condução da embarcação a pessoa habilitada
Arrais Amador;Geral;Na intoxicação por gases a pele assume a cor:;azulada;avermelhada;acinzentada;amarelada;esverdeada;azulada
Arrais Amador;Geral;Basicamente o leme se divide em:;madre, anete e porta;corpo, anete e cepo;cabeça, corpo e dobradiças;madre, cana e porta;cabeça, anete e haste;madre, cana e porta
Arrais Amador;Geral;De acordo com a Regra 14 do RIPEAM, o que as embarcações à propulsão mecânica devem fazer ao se aproximarem em rumos diretamente opostos ou quase diretamente opostos em condições de risco de abalroamento?;Ambas as embarcações devem guinar para bombordo.;Ambas as embarcações devem guinar para boreste.;Ambas as embarcações devem manter seus rumos atuais.;A embarcação que avista as luzes do mastro da outra guina para boreste.;A embarcação que avista as luzes do mastro da outra guina para bombordo;Ambas as embarcações devem guinar para boreste.
Arrais Amador;Geral;De acordo com a Regra 15 do RIPEAM, o que a embarcação que avista a outra por boreste deve fazer em uma situação de rumos cruzados que envolva risco de abalroamento ?;A embarcação que avista a outra por boreste deve manter seu rumo e velocidade atuais.;A embarcação que avista a outra por boreste deve guinar para bombordo.;A embarcação que avista a outra por boreste deve se manter fora do caminho da outra e evitar cruzar sua proa, se possível.;A embarcação que avista a outra por boreste deve fazer um sinal sonoro longo.;A embarcação que avista a outra por boreste deve parar imediatamente.;A embarcação que avista a outra por boreste deve se manter fora do caminho da outra e evitar cruzar sua proa, se possível.
Arrais Amador;Geral;De acordo com a Regra 16 do RIPEAM, qual é a responsabilidade da embarcação obrigada a se manter fora do caminho de outra embarcação?;A embarcação obrigada a se manter fora do caminho deve manter seu rumo e velocidade atuais.;A embarcação obrigada a se manter fora do caminho deve manobrar de forma a cruzar a proa da outra embarcação.;A embarcação obrigada a se manter fora do caminho deve manobrar antecipada e substancialmente para se manter bem safa da outra embarcação.;A embarcação obrigada a se manter fora do caminho deve parar imediatamente.;A embarcação obrigada a se manter fora do caminho não tem nenhuma responsabilidade.;A embarcação obrigada a se manter fora do caminho deve manobrar antecipada e substancialmente para se manter bem safa da outra embarcação.
Arrais Amador;Geral;De acordo com o Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), no meio a um forte nevoeiro uma embarcação detectou no radar a presença de outra embarcação navegando por ante a vante de seu través, com risco de abalroamento, mas constatou também que tem preferência sobre a embarcação detectada. Neste caso ela deverá:;soar um apito longo em intervalos não superiores a dois minutos e fazer contato rádio;soar um apito longo em intervalos não superiores a dois minutos e reduzir a velocidade ao mínimo que lhe permita manter seu rumo;soar dois apitos longo em intervalos não superiores a dois minutos e acender as luzes de navegação;soar um apito longo em intervalos não superiores a dois minutos e alterar seu rumo para bombordo;soar dois apitos longos em intervalos não superiores a dois minutos e manter seu rumo e velocidade;soar um apito longo em intervalos não superiores a dois minutos e reduzir a velocidade ao mínimo que lhe permita manter seu rumo
Arrais Amador;Geral;A distância vertical entre o plano de flutuação para imersão máxima e a interseção da face superior do convés com a superfície exterior do casco, no plano transversal a meio navio, é definida como:;borda livre;pontal;comprimento;calado;boca;borda livre
Arrais Amador;Geral;Quando praticando navegação interior, em águas abrigadas, uma unidade de facho manual de luz vermelha será obrigatória somente para:;embarcações de médio porte;embarcações motorizadas;embarcações de grande porte;embarcações menores de 12 metros, exceto miúdas;embarcações miúdas;embarcações de grande porte
Arrais Amador;Geral;Para desatracar a embarcação devemos, como regra geral:;largar os cabos de vante e abrir a proa dando máquinas adiante;largar todos os cabos e dar máquinas adiante toda força, para sair rapidamente do cais;largar os cabos de ré, procurando utilizar os cabos de vante para abrir a popa com máquina adiante toda força;largar os cabos de ré, procurando manobrar para abrir a popa, aproveitar o efeito do leme para afastar a popa e então largar os cabos de vante;largar os cabos de vante a abrir a proa dando máquinas atrás;largar os cabos de ré, procurando manobrar para abrir a popa, aproveitar o efeito do leme para afastar a popa e então largar os cabos de vante
Arrais Amador;Geral;É definido como sendo a distância horizontal entre os pontos extremos da proa a popa de uma embarcação:;comprimento da embarcação;convés principal;convés de borda livre;borda livra;pontal;comprimento da embarcação
Arrais Amador;Geral;A Lei Federal 9.537/97 – Lei de Segurança do Tráfego aquaviário, foi regulamentada pelo (a):;Regulamento do Tráfego Marítimo - RTM;NORMAM-03 (Nova NORMAM 211);Decreto 2.596/98 RLESTA;NORMAM-07 (Nova NORMAM 301);NORMAM-13 (Nova NORMAM 101);Decreto 2.596/98 RLESTA
Arrais Amador;Geral;As marcas de tope do sinal cardinal norte são:;dois cones pretos, um sobre o outro, com vértices para baixo;dois cones pretos, lado a lado, com vértices para cima;dois cones pretos, um sobre o outro, base a base;dois cones pretos, um sobre o outro, com vértices para cima;dois cones pretos, um sobre o outro, vértice a vértice;dois cones pretos, um sobre o outro, com vértices para cima
Arrais Amador;Geral;Se for utilizado em ambientes fechados e de pequeno volume, em qual dos tipos de agentes extintores listados abaixo devemos ter cuidado quanto a uma eventual sufocação?;espuma química;espuma mecânica;pó químico;água;gás carbônico;gás carbônico
Arrais Amador;Geral;As coletes salva-vidas infláveis devem ser enchidos:;ao iniciar a viagem;quando já dentro da água;somente depois que entrar na balsa;antes de abandonar a embarcação;antes de pular na água;quando já dentro da água
Arrais Amador;Geral;De acordo com a RLESTA, a navegação realizada exclusivamente nos portos e terminais aquaviários para atendimento de embarcações e instalações portuárias é classificada como:;praticagem;interior;apoio portuário;apoio marítimo;abrigada;apoio portuário
Arrais Amador;Geral;Descreva o RACON e esclareça qual é a sua finalidade:;é um auxílio à navegação radar ativo;é um auxílio à navegação radar interior;é um auxílio à navegação sonar;é o mesmo que sextante;equipamento usado em conjunto com o prumo de mão;é um auxílio à navegação radar ativo
Arrais Amador;Geral;Temperatura de ignição é:;uma temperatura baixa;uma temperatura elevadíssima;a temperatura de 100º C;uma temperatura muito baixa;uma temperatura adequada a combustão;uma temperatura adequada a combustão
Arrais Amador;Geral;Estão obrigadas a registro no Tribunal Marítimo todas as embarcações:;com comprimento igual a 24 metros, que possuam mais de 50 AB;de médio porte, com menos de 100 AB;com comprimento maior ou igual a 12 metros, que possuam mais de 20 AB;de médio porte, com amis de 50 AB;com comprimento maior ou igual a 24 metros, que possuam mais de 100 AB;com comprimento maior ou igual a 24 metros, que possuam mais de 100 AB
Arrais Amador;Geral;As embarcações brasileiras, de esporte e/ou recreio, o horário que a Bandeira Nacional deverá ser içada na popa das embarcações (exceto as miúdas), será:;juntamente com o embandeiramento de grande gala, nos dias previstos na NORMAM;em porto estrangeiro, entre 08:00 horas ao pôr do sol;em porto nacional, das 08:00 horas ao pôr do sol;nas entradas e saídas dos portos, depois do pôr do sol;sempre em qualquer situação;em porto nacional, das 08:00 horas ao pôr do sol
Arrais Amador;Geral;Qual é o movimento da brisa marítima e brisa terrestre e em que horário?;brisa marítima do mar para terra, a tarde e brisa terrestre da terra para o mar, pela manhã;brisa marítima do mar para terra, a tarde e brisa terrestre da terra para o mar, à noite;brisa marítima da terra para o mar, pela manhã e brisa terrestre do mar para terra, à noite;brisa marítima do mar para terra, pela manhã e brisa terrestre da terra para o mar, à noite;brisa marítima do mar para terra, a noite e brisa terrestre da terra para o mar, pela manhã;brisa marítima do mar para terra, pela manhã e brisa terrestre da terra para o mar, à noite
Arrais Amador;Geral;O proprietário de uma embarcação foi multado e não concordou com a infração, e fez um pedido de reconsideração, quantos dias de prazo ele tem para fazer este pedido a Autoridade Marítima?;5 dias úteis;15 dias úteis;10 dias úteis;30 dias;120 dias;5 dias úteis
Arrais Amador;Geral;De acordo com o RIPEAM, as luzes de navegação obrigatórias para uma embarcação de mais de 50 metros de comprimento são:;uma luz branca a ré, luzes, verde a boreste e encarnada (vermelha) a bombordo;ma luz branca a vante, uma luz branca a ré, uma luz de alcançado branca, luzes verde e encarnada (vermelha), combinadas;uma luz branca no mastro de vante, uma luz branca no mastro de ré, mais alta que a de vante, uma luz de alcançado a ré, branca, luzes, verde a boreste e encarnada (vermelha) a bombordo;uma luz branca a vante, uma luz branca a ré, luzes, encarnada (vermelha) a boreste e verde a bombordo;uma luz branca a vante, uma luz alcançado branca, luzes verde e encarnada (vermelha), combinadas luzes, verde a boreste e encarnada (vermelha) a bombordo;uma luz branca no mastro de vante, uma luz branca no mastro de ré, mais alta que a de vante, uma luz de alcançado a ré, branca, luzes, verde a boreste e encarnada (vermelha) a bombordo
Arrais Amador;Geral;Quando houver risco de mau tempo durante um fundeio, qual o procedimento em relação a amarra:;aumentar o peso da amarra e do ferro (âncora);aumentar o calado da embarcação;diminuir o comprimento da amarra na água;aumentar o comprimento da amarra na água;dobrar a marra – duas amarras na mesma âncora;aumentar o comprimento da amarra na água
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), em uma situação de risco de abalroamento constatou-se que um dos barcos tem preferência. Sendo assim, o barco que tem preferência deverá em princípio:;diminuir a velocidade e deixar a outra embarcação passar;manobrar para bombordo;manter seu rumo e velocidade;manobrar para boreste;aumentar a velocidade;manter seu rumo e velocidade
Arrais Amador;Geral;Em relação às Áreas de Segurança estabelecidas na NORMA-03/DPC, (NOVA NORMAM 211) é permitido trafegar e fundear:;nos locais reservado par banhistas;a menos de 200 metros da linha base;nos locais onde haja menor tráfego e concentração de embarcações;nos locais onde haja maior tráfego e concentração de embarcações;a menos de 5 metros da linha base;nos locais onde haja menor tráfego e concentração de embarcações
Arrais Amador;Geral;De acordo com o RIPEAM, os sinais sonoros que podem ser emitidos por apitos, buzinas ou ainda sinos, são utilizados em três situações:;Manobra, perigos diversos e em canais estreitos;Manobra, advertência e em baixa visibilidade;Manobra, risco de abalroamento e em canais estreitos;Manobra, risco de abalroamento e em baixa visibilidade;Manobra, perigos diversos e em canais estreitos;Manobra, advertência e em baixa visibilidade
Arrais Amador;Geral;A âncora mais comum, a bordo das embarcações de esporte e recreio, é a:;Fateixa;bruce;busca-vida;danforth;almirantado;danforth
Arrais Amador;Geral;Os colete salva-vidas devem ser:;conduzido pelo náufrago na mão;amarrado ao corpo com segurança;amarrado ao corpo, com a parte flutuante para frente;jogado na água, para o náufrago se apoiar;amarrado ao corpo, com a parte flutuante para as costas;amarrado ao corpo, com a parte flutuante para frente
Arrais Amador;Geral;Em caso de hipotermia, após aplicarmos os primeiros socorros, devemos deixar o paciente em posição de restabelecimento que será:;deixar a vítima deitada em decúbito dorsal;deixar a vítima sentada e com a cabeça ereta e bem mais alta que o resto do corpo;deixar a vítima deitada em decúbito ventral, levemente inclinada para o lado;colocar a vítima deitada de lado e com a cabeça mais baixa que o corpo;deixar a vítima à vontade para que ela encontre, por si, a posição mais confortável;deixar a vítima deitada em decúbito ventral, levemente inclinada para o lado
Arrais Amador;Geral;Qual a frequência de sopros por minuto, numa respiração boca a boca:;na faixa de 5 a 10;na faixa de 10 a 15;na faixa de 15 a 20;na faixa de 20 a 25;na faixa de 20 a 30;na faixa de 10 a 15
Arrais Amador;Geral;De acordo com a Regra 12 do RIPEAM/COLREGs, em uma situação de risco de abalroamento envolvendo duas embarcações a vela com vento soprando de bordo diferente, qual delas deve se manter fora do caminho da outra?;A embarcação com o vento a bombordo;A embarcação com o vento a boreste;A embarcação que estiver a barlavento;A embarcação que estiver a sotavento;A embarcação que estiver a estibordo;A embarcação com o vento a bombordo
Arrais Amador;Geral;Quando ambas as embarcações a vela têm o vento soprando do mesmo bordo, de acordo com a Regra 12 do RIPEAM/COLREGs, qual embarcação deve se manter fora do caminho da outra?;A embarcação com o vento a bombordo;A embarcação com o vento a boreste;A embarcação que estiver a barlavento;A embarcação que estiver a sotavento;A embarcação que estiver a estibordo;A embarcação que estiver a barlavento
Arrais Amador;Geral;De acordo com a Regra 12 das RIPEAM/COLREGs, se uma embarcação a vela com o vento a bombordo avistar outra embarcação a barlavento e não puder determinar com segurança de qual lado a outra embarcação recebe o vento, o que ela deve fazer?;A embarcação a bombordo deve continuar seu curso;A embarcação a bombordo deve guinar para boreste;A embarcação a bombordo deve guinar para bombordo;A embarcação a bombordo deve parar imediatamente;A embarcação a bombordo deve se manter fora do caminho da outra embarcação;A embarcação a bombordo deve se manter fora do caminho da outra embarcação
Arrais Amador;Geral;De acordo com a Regra 13 das COLREGs, qual é a regra fundamental quando uma embarcação está ultrapassando outra?;A embarcação que está ultrapassando deve manter seu curso e velocidade atuais;A embarcação que está ultrapassando deve guinar para boreste;A embarcação que está ultrapassando deve manter-se fora do caminho da outra embarcação;A embarcação que está ultrapassando deve fazer um sinal sonoro longo;A embarcação que está ultrapassando deve parar imediatamente;A embarcação que está ultrapassando deve manter-se fora do caminho da outra embarcação
Arrais Amador;Geral;"Segundo a Regra 13 das COLREGs, quando uma embarcação é considerada como ""alcançando"" outra?";Quando a embarcação está a mais de 112,5 graus à ré da outra;Quando a embarcação está a menos de 22,5 graus à ré da outra;Quando a embarcação está a mais de 22,5 graus à ré da outra;Quando a embarcação está a menos de 45 graus à ré da outra;Quando a embarcação está a menos de 90 graus à ré da outra;Quando a embarcação está a mais de 22,5 graus à ré da outra
Arrais Amador;Geral;De acordo com o RIPEAM/COLREGs, o que uma embarcação deve fazer quando há dúvida se está alcançando outra embarcação?;A embarcação deve considerar a situação como se estivesse alcançando a outra e manobrar de acordo;A embarcação deve manter seu rumo atual;A embarcação deve guinar para boreste;A embarcação deve parar imediatamente;A embarcação não tem nenhuma obrigação especial em caso de dúvida;A embarcação deve considerar a situação como se estivesse alcançando a outra e manobrar de acordo
Arrais Amador;Geral;De acordo com a Regra 13 do RIPEAM/COLREGs, o que acontece com a obrigação de uma embarcação alcançadora se houver uma alteração na marcação entre as duas embarcações?;A embarcação alcançadora deve manter seu rumo atual, independentemente de qualquer alteração na marcação;A alteração na marcação transforma a embarcação alcançadora na embarcação que cruza o caminho da outra;A embarcação alcançadora está dispensada de manter-se fora do caminho da embarcação alcançada;A embarcação alcançadora deve parar imediatamente;A embarcação alcançadora deve imediatamente assumir a prioridade e cruzar o caminho da outra;A alteração na marcação transforma a embarcação alcançadora na embarcação que cruza o caminho da outra
Arrais Amador;Geral;De acordo com a Regra 14 do RIPEAM/COLREGs, o que as embarcações à propulsão mecânica devem fazer quando se aproximam em rumos diretamente opostos ou quase diretamente opostos e há risco de abalroamento?;Ambas as embarcações devem manter seus rumos atuais;Ambas as embarcações devem guinar para boreste;Ambas as embarcações devem guinar para bombordo;A embarcação que vê as luzes dos mastros da outra deve guinar para bombordo;A embarcação que vê as luzes dos mastros da outra deve guinar para boreste;Ambas as embarcações devem guinar para boreste
Arrais Amador;Geral;"De acordo com a Regra 14 do RIPEAM/COLREGs, como se considera a existência de uma situação de ""roda a roda"" entre duas embarcações?";Quando as embarcações estão na mesma velocidade;Quando as embarcações se avistam a estibordo uma da outra;Quando as embarcações estão a menos de 45 graus uma da outra;Quando as embarcações se avistam uma à proa da outra;Quando as embarcações estão a menos de 90 graus uma da outra;Quando as embarcações se avistam uma à proa da outra
Arrais Amador;Geral;"De acordo com as regras do RIPEAM/COLREGs, o que uma embarcação deve fazer quando há dúvida sobre a existência de uma situação ""roda a roda""?";A embarcação em dúvida deve manter seu rumo atual;A embarcação em dúvida deve guinar para bombordo;A embarcação em dúvida deve guinar para boreste;A embarcação em dúvida deve considerar a situação como existente e manobrar de acordo;A embarcação em dúvida deve parar imediatamente;A embarcação em dúvida deve considerar a situação como existente e manobrar de acordo
Arrais Amador;Geral;De acordo com a Regra 15 do RIPEAM/COLREGs, quando dois navios de propulsão mecânica navegam em rumos que se cruzam, qual a responsabilidade do navio que vê o outro por boreste ?;O navio que vê o outro por boreste deve manter seu rumo e velocidade atuais.;O navio que vê o outro por boreste deve guinar para bombordo.;O navio que vê o outro por boreste deve afastar-se do caminho do outro e, se possível, evitar cortar-lhe a proa;O navio que vê o outro por boreste deve afastar-se do caminho do outro e, se possível, evitar cortar-lhe a popa;O navio que vê o outro por boreste deve parar imediatamente;O navio que vê o outro por boreste deve afastar-se do caminho do outro e, se possível, evitar cortar-lhe a proa
Arrais Amador;Geral;Conforme a Regra 16 do RIPEAM/COLREGs, quando um navio é obrigado a deixar livre o caminho de outro navio, qual é a responsabilidade do navio sem prioridade ?;O navio sem prioridade deve manter seu rumo atual, independentemente do outro navio;O navio sem prioridade deve manobrar com antecedência e de forma franca, mantendo-se suficientemente afastado do outro navio;O navio sem prioridade deve reduzir a velocidade ao mínimo permitido;O navio sem prioridade deve fazer um sinal sonoro longo;O navio sem prioridade deve parar imediatamente;O navio sem prioridade deve manobrar com antecedência e de forma franca, mantendo-se suficientemente afastado do outro navio
Arrais Amador;Geral;De acordo com a Regra 17 do RIPEAM/COLREGs, quando uma embarcação é obrigada a manobrar, qual é a responsabilidade da outra embarcação que tem preferência?;A outra embarcação deve manobrar imediatamente para evitar um abalroamento;A outra embarcação deve manter seu rumo e velocidade e não manobrar sob nenhuma circunstância;A outra embarcação deve reduzir a velocidade para permitir que a embarcação obrigada a manobrar passe com segurança;A outra embarcação deve manobrar de forma que se encontre em rota de colisão com a embarcação obrigada a manobrar;A outra embarcação deve fazer um sinal sonoro longo;A outra embarcação deve manobrar imediatamente para evitar um abalroamento
Arrais Amador;Geral;De acordo com a Regra 17 do RIPEAM/COLREGs, o que a embarcação que deve manter seu rumo e sua velocidade deve fazer se um abalroamento não puder ser evitado apenas pela manobra da embarcação obrigada a manobrar?;A embarcação deve manter seu rumo e velocidade a todo custo;A embarcação deve parar imediatamente;A embarcação deve manobrar da melhor maneira possível para auxiliar a evitar o abalroamento;A embarcação deve abandonar o navio;A embarcação deve fazer um sinal sonoro longo;A embarcação deve manobrar da melhor maneira possível para auxiliar a evitar o abalroamento
Arrais Amador;Geral;De acordo com a Regra 17 do RIPEAM/COLREGs, o que uma embarcação de propulsão mecânica que manobra para evitar um abalroamento não deve fazer em relação a outra embarcação que se encontra a seu bombordo?;A embarcação pode guinar para bombordo se as condições o permitirem;A embarcação deve manter seu rumo a qualquer custo;A embarcação deve guinar para boreste imediatamente;A embarcação deve parar imediatamente;A embarcação deve fazer um sinal sonoro longo;A embarcação pode guinar para bombordo se as condições o permitirem
Arrais Amador;Geral;De acordo com a Regra 17 do RIPEAM/COLREGs, o que esta regra não dispensa em relação à embarcação obrigada a manobrar?;A embarcação obrigada a manobrar não precisa se preocupar com as outras embarcações em seu caminho;A embarcação obrigada a manobrar está dispensada de sua obrigação de evitar colisões;A embarcação obrigada a manobrar está dispensada de sua obrigação de manter-se fora do caminho da outra;A embarcação obrigada a manobrar ainda é obrigada a manter-se fora do caminho da outra;A embarcação obrigada a manobrar deve parar imediatamente;A embarcação obrigada a manobrar ainda é obrigada a manter-se fora do caminho da outra
Arrais Amador;Geral;De acordo com a Regra 18 do RIPEAM/COLREGs, uma embarcação de propulsão mecânica em movimento não precisa se manter-se fora do caminho de qual das seguintes embarcações?;Uma embarcação com capacidade de manobra restrita;Uma embarcação a vela;Uma embarcação sem governo;Uma embarcação engajada na pesca;Nenhuma Das Alternativas Acima;Nenhuma Das Alternativas Acima
Arrais Amador;Geral;De acordo com a Regra 18 do RIPEAM/COLREGs, uma embarcação de propulsão mecânica em movimento deve manter-se fora do caminho de uma embarcação engajada na pesca, a menos que qual condição seja atendida ?;A embarcação de pesca deve fazer um sinal sonoro longo;A embarcação de pesca deve guiar a embarcação de propulsão mecânica;A embarcação de pesca deve lançar uma âncora;A embarcação de pesca deve estender suas redes à popa;A embarcação de pesca deve estar engajada em pesca de arrasto;A embarcação de pesca deve estar engajada em pesca de arrasto
Arrais Amador;Geral;De acordo com a Regra 18 do RIPEAM/COLREGs, qual tipo de embarcação deve manter-se fora do caminho de uma embarcação a vela?;Uma embarcação de propulsão mecânica em movimento;Uma embarcação a remo;Uma embarcação com capacidade de manobra restrita;Uma embarcação sem governo;Uma embarcação engajada na pesca;Uma embarcação de propulsão mecânica em movimento
Arrais Amador;Geral;De acordo com a Regra 18 do RIPEAM/COLREGs, qual tipo de embarcação não deve manter-se fora do caminho de uma embarcação com capacidade de manobra restrita ?;Uma embarcação de propulsão mecânica em movimento;Uma embarcação a vela;Uma embarcação sem governo;Uma embarcação engajada na pesca;Uma embarcação atracada;Uma embarcação sem governo
Arrais Amador;Geral;De Acordo com a regra 18 do RIPEAM/COLREGs, uma embarcação a vela em movimento não precisa manter-se fora do caminho de uma embarcação;Sem Governo;Manobra Restrita;Engajada na Pesca;Fundeada;Propulsão Mecânica;Propulsão Mecânica
Arrais Amador;Geral;De acordo com o RIPEAM/COLREGs, uma nave de vôo rasante operando na superfície da água deverá cumprir as regras desta parte como se fosse uma ?;Sem Governo;Capacidade de Manobra Restrita;Engajada na Pesca;A vela;Propulsão Mecânica;Propulsão Mecânica
